Student_ID,Survey_Date,School_Name,Gender,City_Type,Family_Income,Plus2_Stream,Plus2_GPA,Entrance_Score_IOE,Entrance_Score_CEE,Entrance_Score_CMAT,Grade_English,Grade_Nepali,Grade_Social,Grade_Math,Grade_Physics,Grade_Chemistry,Grade_Biology,Grade_Computer,Grade_Accounts,Grade_Economics,Grade_Law,Interest_Technology,Interest_Math_Stats,Interest_Art_Design,Interest_Business_Money,Interest_Social_People,Interest_Bio_Health,Interest_Nature_Agri,Interest_Construction,Interest_Law_Politics,Interest_Hospitality_Food,Interest_Gaming_Entertainment,Interest_History_Culture,Suggested_Job_Role
STU_1721175,05-08-2023,BernHardt,Male,Rural,High,Science_Physical,3.29,84,0,0,A+,A,A,A+,A,A,NG,A+,NG,NG,NG,8,4,1,1,4,1,2,1,1,1,1,3,Mgmt_BBA_Marketing
STU_5774428,24-12-2023,Kathmandu Model,Male,Rural,Medium,Management,3.14,0,0,90,A+,A,A,A,NG,NG,NG,A,A,A,NG,3,2,2,9,4,1,2,2,1,2,1,2,Mgmt_Supply_Chain
STU_9300868,02-10-2023,Gandaki Boarding,Female,Urban,Medium,Management,3.24,0,0,86,A,A,B+,A,NG,NG,NG,A,B+,A,NG,8,2,3,4,2,2,2,4,2,3,4,3,IT_QA_Engineer
STU_5702202,14-07-2023,St. Xaviers,Female,Rural,Low,Science_Bio,2.86,0,103,0,B+,A,A,B+,A,A,A,NG,NG,NG,NG,4,3,3,3,1,9,3,3,2,3,1,2,Med_B_Pharmacy
STU_2296617,25-08-2023,Kathmandu Model,Male,Rural,Low,Management,3.15,0,0,86,A+,A,A,B+,NG,NG,NG,B+,A,A+,NG,3,2,1,3,1,3,2,3,1,1,2,3,Mgmt_BBA_Marketing
STU_6872032,18-10-2023,Global College,Female,Urban,Medium,Science_Bio,3.95,0,99,0,A+,A+,A+,A,A+,A+,A+,NG,NG,NG,NG,3,1,4,2,3,8,2,4,2,2,1,2,Med_Health_Assistant_HA
STU_1175745,23-04-2023,Motherland,Male,Urban,High,Science_Physical,3.01,90,0,0,A,A,A,A,A,A,NG,B+,NG,NG,NG,4,1,1,3,3,2,4,10,1,2,1,1,Eng_Civil_Engineer
STU_1165354,11-10-2023,Public High,Female,Urban,Medium,Science_Physical,2.89,131,0,0,A+,A,A,A,B+,A,NG,A+,NG,NG,NG,8,10,1,4,1,3,3,2,2,1,4,2,IT_AI_ML_Engineer
STU_7321077,02-04-2023,Trinity,Male,Urban,Low,Humanities,3.76,0,0,0,A+,A+,A+,NG,NG,NG,NG,NG,NG,A+,NG,2,3,3,3,4,2,1,1,8,3,2,4,Hum_Journalist
STU_1757503,27-02-2023,,Male,Rural,Medium,Management,2.37,0,0,74,B,B+,B,B+,NG,NG,NG,B+,A+,B+,NG,3,3,1,8,3,3,4,3,2,4,1,4,Mgmt_BBA_Finance
